z,y,x,id
8.63350238980507,309.187610464871,169.3899324247952,0
12.500305688379271,282.89358498943557,160.09705925325747,0
19.500062444214812,237.14582848242424,139.19391389196855,0
25.499495056721653,202.49754433195596,110.50013955327731,0
26.499804278467366,197.49977435251634,100.49965010780373,0
25.916980111605735,198.49971503252297,100.49951159076143,0
23.39686203686262,192.4315241673518,101.49995135449375,0
17.13164503139652,165.43932165797827,110.49989307462685,0
11.500066747573724,137.50001024053788,128.13839942354315,0
8.526066791542446,123.50180603599725,140.49796087409436,0
8.525117756389168,120.07998525599145,146.50017418798416,0
11.170214868838675,103.45788750432204,159.87418149881012,0
14.50028379642501,86.4998634966483,170.4990964016112,0
16.697980886645887,84.50002925172511,173.50040910997404,0
20.172523551451665,85.39723677982774,176.5012200870237,0
23.064800985930482,83.88536368670468,166.08168847635875,0
37.850113271001625,325.863476910605,181.56521871822787,1
37.30968377482489,322.73545252106265,195.55861590206905,1
36.49963399320314,308.0110521475469,178.65238253937014,1
35.499843369352504,279.5000199590175,156.58247008937826,1
31.506253189986886,246.2418147751989,140.49984125143516,1
27.93773341536669,219.49999627597572,124.0702142365171,1
25.500265500332752,201.4998674711377,110.49928246887298,1
25.878273167346332,193.49817464374377,105.22307017706852,1
30.643736087916974,178.5001278106442,104.49914789761121,1
34.49994787095963,166.49909085052192,106.50003478438289,1
36.59896111445742,153.7117285317602,109.49974456709089,1
39.4140949946281,145.94633583233778,113.1372942434427,1
42.563492087240476,134.50039657985783,126.74553050364588,1
44.20837119646371,114.49980041776195,148.94004027117643,1
40.495284784715395,87.50054950434281,169.5012932697933,1
33.499988009600344,85.50043136883285,181.49991774195468,1
30.523671050161738,84.50048313765629,182.49599003716665,1
23.571530362211497,85.49977317571262,185.5000403190493,1
20.352040252559107,81.53156197527666,202.217648681858,1
